Print ID	Scan ID	DOM ID	ARK
002163687	014603322	lsidyv2eb63a59	ark:/81055/vdc_000000028956
002296245	014603323	lsidyv2eb575df	ark:/81055/vdc_000000028872
002432556	014603324	lsidyv2eb66dc2	ark:/81055/vdc_0000000289A4
002483655	014603325	lsidyv2eb87d50	ark:/81055/vdc_000000028C5C
002605827	014603326	lsidyv3832a6ff,lsidyv2eb81d58	ark:/81055/vdc_00000001EFB4,ark:/81055/vdc_000000028BBA
002712255	014603327	lsidyv2eb7609f	ark:/81055/vdc_000000028AD6
002917840	014603328	lsidyv2eb67d27	ark:/81055/vdc_0000000289C2
003014819	014603329	lsidyv2eb77ab0	ark:/81055/vdc_000000028AF4
003060663	014603330	lsidyv2eb87e40	ark:/81055/vdc_000000028C62
003076737	014603331	lsidyv2eb8ab89	ark:/81055/vdc_000000028C9E
003123553	014603332	lsidyv2eb5ef27	ark:/81055/vdc_000000028914
003224607	014603333	lsidyv2eb84bcf	ark:/81055/vdc_000000028C1A
003226567	014603334	lsidyv2eb7b7f3	ark:/81055/vdc_000000028B36
003232475	014603335	lsidyv2eb58d07	ark:/81055/vdc_000000028896
003332651	014603336	lsidyv2eb5a70d	ark:/81055/vdc_0000000288C0
003458461	014603337	lsidyv2eb7d779	ark:/81055/vdc_000000028B6C
003605850	014603338	lsidyv2eb8a5f0	ark:/81055/vdc_000000028C8C
003683320	014603339	lsidyv2eb8a9bb	ark:/81055/vdc_000000028C98
003883677	014603340	lsidyv2eb7ecdf	ark:/81055/vdc_000000028B8A
003899050	014603341	lsidyv2eb874d3	ark:/81055/vdc_000000028C44
003910222	014603342	lsidyv2eb7dcd8	ark:/81055/vdc_000000028B78
003919908	014603343	lsidyv2eb757ec	ark:/81055/vdc_000000028ACA
003996605	014603344	lsidyv2eb8edfb	ark:/81055/vdc_000000028CD4
004003419	014603345	lsidyv2eb717fd	ark:/81055/vdc_000000028A64
000029006	014603346	lsidyv2eb8303a	ark:/81055/vdc_000000028BE4
000185588	014603347	lsidyv2eb682e4	ark:/81055/vdc_0000000289CE
000237432	014603348	lsidyv2eb71b01	ark:/81055/vdc_000000028A76
000304906	014603349	lsidyv35c66567,lsidyv2eb561fa	ark:/81055/vdc_000000006E28,ark:/81055/vdc_000000028854
000479744	014603350	lsidyv2eb58628	ark:/81055/vdc_00000002888A
000532800	014603351	lsidyv2eb846e7	ark:/81055/vdc_000000028C0E
000547679	014603352	lsidyv2eb7ae12	ark:/81055/vdc_000000028B2A
000558041	014603353	lsidyv2eb7c8ca	ark:/81055/vdc_000000028B4E
000558043	014603354	lsidyv2eb82190	ark:/81055/vdc_000000028BCC
000558282	014603355	lsidyv2eb5f973	ark:/81055/vdc_000000028920
